"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"128","plane","4","normal","10","10","[[0 -6 -11] [1 4 3] [2 -3 9] [3 -6 -11]]","[[0 458] [1 387] [2 390] [3 446]]","[[0 1] [1 10] [2 10] [3 1]]"
"129","plane","4","normal","10","10","[[1 11 2] [2 9 -9] [0 -7 -1] [3 -7 1]]","[[1 359] [2 248] [0 513] [3 561]]","[[1 10] [2 12] [0 3] [3 3]]"
"130","plane","4","normal","10","10","[[2 -10 -7] [0 8 -4] [1 -8 9] [3 8 -4]]","[[2 301] [0 569] [1 274] [3 537]]","[[2 12] [0 1] [1 15] [3 1]]"
"132","plane","4","normal","10","10","[[1 -14 9] [0 -10 8] [2 1 -7] [3 8 3]]","[[1 261] [0 501] [2 486] [3 433]]","[[1 5] [0 5] [2 12] [3 12]]"
"133","plane","4","normal","10","10","[[3 14 2] [2 -6 14] [1 5 0] [0 -7 9]]","[[3 355] [2 313] [1 585] [0 428]]","[[3 8] [2 5] [1 7] [0 6]]"
"134","plane","4","normal","10","10","[[1 -3 -11] [3 0 -3] [0 9 19] [2 8 -3]]","[[1 407] [3 547] [0 308] [2 419]]","[[1 9] [3 8] [0 11] [2 9]]"
"135","plane","4","normal","10","10","[[1 1 -1] [0 5 1] [2 -11 0] [3 4 12]]","[[1 541] [0 362] [2 442] [3 336]]","[[1 3] [0 4] [2 7] [3 7]]"
"136","plane","4","normal","10","10","[[2 -2 13] [0 2 -5] [1 2 -13] [3 -2 6]]","[[2 381] [0 513] [1 348] [3 439]]","[[2 5] [0 4] [1 6] [3 4]]"
"138","plane","4","normal","10","10","[[0 -1 -4] [3 12 10] [2 -5 -11] [1 -5 6]]","[[0 492] [3 339] [2 463] [1 387]]","[[0 10] [3 15] [2 10] [1 15]]"
"137","plane","4","normal","10","10","[[3 -7 -17] [2 2 -3] [0 -3 6] [1 -8 -15]]","[[3 225] [2 522] [0 574] [1 360]]","[[3 3] [2 8] [0 10] [1 3]]"
